laneid,s_offset,e_offset,lon,lat,e_spdlmt
2341838284012925441,0,39,87.562214,43.811889,80
2341838284012925442,0,38,87.562172,43.811881,80
2341838284012925443,0,38,87.562131,43.811873,80
2341838284012925697,0,149,87.562089,43.812225,80
2341838284012925698,0,149,87.562050,43.812210,80
2341838284012925699,0,150,87.562011,43.812196,80
2391574907243738881,0,92,114.768056,25.579342,120
2391574907243738882,0,92,114.768040,25.579373,120
2391574907243739137,0,60,114.768879,25.579701,120
2391574907243739138,0,60,114.768865,25.579733,120
2391574907243740161,0,88,114.769411,25.579944,120
2391574907243740162,0,88,114.769396,25.579975,120
2391574907243740417,0,3,114.770182,25.580312,120
2391574907243740418,0,3,114.770167,25.580344,120
2391574907243740673,0,11,114.770203,25.580323,120
2391574907243740674,0,11,114.770188,25.580354,120
2391574907243740929,0,5,114.770293,25.580367,120
2391574907243740930,0,5,114.770277,25.580398,120
2391574907243741185,0,6,114.770333,25.580387,120
2391574907243741186,0,6,114.770318,25.580418,120
2391574907243741441,0,10,114.770381,25.580411,120
2391574907243741442,0,10,114.770365,25.580442,120
2391574907243741697,0,347,114.770464,25.580452,120
2391574907243741698,0,347,114.770448,25.580483,120
2391574907243741953,0,223,114.773441,25.582027,120
2391574907243741954,0,223,114.773425,25.582058,120
2391574907243739393,0,2,114.775378,25.583001,120
2391574907243739394,0,2,114.775364,25.583033,120
2391574907243739649,0,300,114.775391,25.583007,120
2391574907243739650,0,301,114.775378,25.583039,120
2391574907243739905,0,213,114.778201,25.583901,120
2391574907243739906,0,214,114.778194,25.583935,120
2391574907243733505,0,441,114.780306,25.584037,120
2391574907243733506,0,442,114.780308,25.584068,120
2391574907243738369,0,12,114.784439,25.582890,120
2391574907243738370,0,11,114.784462,25.582923,120
2391574907243738371,0,11,114.784462,25.582923,120
2391574907243738625,0,20,114.784531,25.582835,120
2391574907243738626,0,20,114.784548,25.582869,120
2391574907243738627,0,20,114.784553,25.582878,120
2391739194037781249,0,71,118.135234,25.051571,120
2391739194037781250,0,71,118.135213,25.051541,120
2391739194037781251,0,71,118.135213,25.051541,120
2391739194037781252,0,71,118.135194,25.051511,120
2391739194037781505,0,3,118.134628,25.051890,120
2391739194037781506,0,3,118.134627,25.051890,120
2391739194037781507,0,3,118.134607,25.051861,120
2391739194037781508,0,3,118.134586,25.051831,120
2391739194037781761,0,211,118.134605,25.051902,120
2391739194037781762,0,210,118.134586,25.051871,120
2391739194037781763,0,209,118.134567,25.051841,120
2391739194037782017,0,34,118.132731,25.052727,120
2391739194037782018,0,34,118.132719,25.052693,120
2391739194037782019,0,33,118.132708,25.052661,120
2391739194037782273,0,88,118.132422,25.052830,120
2391739194037782274,0,88,118.132412,25.052797,120
2391739194037782275,0,88,118.132402,25.052764,120
2391739194037785857,0,12,118.131589,25.053053,120
2391739194037785858,0,12,118.131589,25.053053,120
2391739194037785859,0,12,118.131580,25.053019,120
2391739194037785860,0,11,118.131571,25.052986,120
2391739194037786113,0,88,118.131480,25.053080,120
2391739194037786114,0,87,118.131480,25.053077,120
2391739194037786115,0,87,118.131472,25.053043,120
2391739194037786116,0,87,118.131465,25.053009,120
2391739194037786369,0,27,118.130640,25.053259,120
2391739194037786370,0,27,118.130634,25.053223,120
2391739194037786371,0,27,118.130628,25.053188,120
2391739194037786372,0,27,118.130623,25.053154,120
2391739194037784065,0,39,118.130374,25.053254,120
2391739194037784066,0,39,118.130369,25.053219,120
2391739194037784067,0,39,118.130364,25.053185,120
2391739194037764353,0,96,118.129989,25.053287,120
2391739194037764354,0,95,118.129986,25.053253,120
2391739194037764355,0,95,118.129984,25.053219,120
2391739194037764609,0,3,118.129047,25.053314,120
2391739194037764610,0,3,118.129046,25.053280,120
2391739194037764611,0,3,118.129047,25.053246,120
2391739194037764865,0,4,118.129022,25.053314,120
2391739194037764866,0,4,118.129023,25.053280,120
2391739194037764867,0,4,118.129024,25.053246,120
2391739194037765121,0,9,118.128990,25.053313,120
2391739194037765122,0,9,118.128990,25.053279,120
2391739194037765123,0,9,118.128991,25.053245,120
2391739194037765377,0,12,118.128901,25.053311,120
2391739194037765378,0,12,118.128902,25.053277,120
2391739194037765379,0,12,118.128903,25.053243,120
2391739194037765633,0,122,118.128786,25.053307,120
2391739194037765634,0,122,118.128789,25.053272,120
2391739194037765635,0,122,118.128790,25.053238,120
2391739194037765889,0,277,118.127586,25.053193,120
2391739194037765890,0,276,118.127591,25.053159,120
2391739194037765891,0,275,118.127596,25.053125,120
2391551542621638401,0,178,118.124969,25.052475,120
2391551542621638402,0,178,118.124981,25.052443,120
2391551542621638403,0,178,118.124994,25.052410,120
2391551542621638657,0,35,118.123354,25.051840,120
2391551542621638658,0,35,118.123366,25.051808,120
2391551542621638659,0,35,118.123379,25.051776,120
2391551542621638913,0,7,118.123044,25.051717,120
2391551542621638914,0,7,118.123057,25.051685,120
2391551542621638915,0,7,118.123070,25.051653,120
2391551542621637889,0,11,118.122986,25.051694,120
2391551542621637890,0,11,118.122999,25.051662,120
2391551542621637891,0,11,118.123012,25.051629,120
2391551542621638145,0,220,118.122890,25.051656,120
2391551542621638146,0,220,118.122903,25.051624,120
2391551542621638147,0,220,118.122916,25.051591,120
2388713200599188993,0,24,104.074187,30.597811,100
2388713200599188994,0,24,104.074187,30.597844,100
2388713200599188995,0,24,104.074188,30.597878,100
2388713200599188996,0,24,104.074188,30.597913,100
2388713200599189249,0,5,104.074432,30.597809,100
2388713200599189250,0,5,104.074432,30.597843,100
2388713200599189251,0,5,104.074433,30.597876,100
2388713200599189252,0,5,104.074433,30.597911,100
2388713200599189505,0,5,104.074480,30.597808,100
2388713200599189506,0,5,104.074480,30.597842,100
2388713200599189507,0,5,104.074481,30.597876,100
2388713200599189508,0,5,104.074481,30.597910,100
2388713200599189761,0,70,104.074528,30.597808,100
2388713200599189762,0,70,104.074528,30.597841,100
2388713200599189763,0,70,104.074529,30.597876,100
2388713200599189764,0,70,104.074529,30.597910,100
2388713200599190017,0,63,104.075249,30.597800,100
2388713200599190018,0,63,104.075250,30.597834,100
2388713200599190019,0,63,104.075250,30.597868,100
2388713200599190020,0,63,104.075251,30.597902,100
2388713200599190273,0,30,104.075900,30.597794,100
2388713200599190274,0,30,104.075900,30.597828,100
2388713200599190275,0,30,104.075901,30.597862,100
2388713200599190276,0,31,104.075900,30.597895,100
2388713200599190529,0,11,104.076211,30.597790,100
2388713200599190530,0,11,104.076211,30.597790,100
2388713200599190531,0,11,104.076212,30.597824,100
2388713200599190532,0,11,104.076213,30.597858,100
2388713200599190533,0,11,104.076213,30.597892,100
2388713200599190785,0,11,104.076317,30.597768,100
2388713200599190786,0,11,104.076317,30.597789,100
2388713200599190787,0,11,104.076317,30.597823,100
2388713200599190788,0,11,104.076318,30.597857,100
2388713200599190789,0,11,104.076318,30.597891,100
2391413321984143617,0,126,113.026046,22.834797,120
2391413321984143618,0,126,113.026086,22.834794,120
2391413321984143619,0,126,113.026122,22.834792,120
2391413321984143620,0,126,113.026159,22.834790,120
2391413321984143621,0,126,113.026196,22.834790,120
2391413321984143873,0,3,113.025985,22.833665,120
2391413321984143874,0,4,113.026024,22.833664,120
2391413321984143875,0,4,113.026062,22.833663,120
2391413321984143876,0,5,113.026099,22.833662,120
2391413321984143877,0,6,113.026135,22.833661,120
2391413321984144129,0,36,113.025984,22.833645,120
2391413321984144130,0,35,113.026022,22.833636,120
2391413321984144131,0,35,113.026060,22.833629,120
2391413321984144132,0,34,113.026097,22.833623,120
2391413321984144133,0,33,113.026133,22.833616,120
2382389660119756801,0,52,111.333995,21.649977,120
2382389660119756802,0,52,111.333985,21.650012,120
2382389660119756803,0,52,111.333976,21.650046,120
2382389660119756804,0,52,111.333967,21.650078,120
2382389660119756805,0,52,111.333959,21.650111,120
2382389660119757057,0,52,111.334474,21.650089,120
2382389660119757058,0,52,111.334466,21.650124,120
2382389660119757059,0,52,111.334459,21.650158,120
2382389660119757060,0,52,111.334451,21.650191,120
2382389660119757061,0,52,111.334443,21.650225,120
2382389660119757313,0,10,111.334953,21.650199,120
2382389660119757314,0,10,111.334945,21.650234,120
2382389660119757315,0,10,111.334938,21.650268,120
2382389660119757316,0,10,111.334930,21.650301,120
2382389660119757317,0,10,111.334923,21.650335,120
2382389660119757569,0,14,111.335039,21.650218,120
2382389660119757570,0,14,111.335030,21.650253,120
2382389660119757571,0,14,111.335024,21.650288,120
2382389660119757572,0,14,111.335016,21.650321,120
2382389660119757573,0,13,111.335009,21.650354,120
2392271220226674433,0,81,118.835863,29.181274,100
2392271220226674434,0,81,118.835876,29.181309,100
2392271220226674435,0,80,118.835887,29.181342,100
2392271220226674689,0,25,118.836661,29.181073,100
2392271220226674690,0,25,118.836670,29.181108,100
2392271220226674691,0,25,118.836677,29.181142,100
2392271220226674945,0,17,118.836905,29.181021,100
2392271220226674946,0,17,118.836912,29.181056,100
2392271220226674947,0,17,118.836919,29.181091,100
2392271220226675201,0,22,118.837070,29.180988,100
2392271220226675202,0,21,118.837077,29.181023,100
2392271220226675203,0,21,118.837084,29.181057,100
2392271220226675457,0,10,118.837281,29.180949,100
2392271220226675458,0,10,118.837287,29.180984,100
2392271220226675459,0,10,118.837293,29.181018,100
2393882773560509697,0,44,116.495233,37.217036,120
2393882773560509698,0,43,116.495194,37.217018,120
2393882773560509699,0,42,116.495157,37.217001,120
2393882773560509700,0,42,116.495122,37.216984,120
2393882773560509701,0,41,116.495085,37.216967,120
2393882773560509953,0,44,116.494987,37.217375,120
2393882773560509954,0,44,116.494953,37.217350,120
2393882773560509955,0,44,116.494920,37.217327,120
2393882773560509956,0,44,116.494889,37.217303,120
2393882773560509957,0,44,116.494856,37.217280,120
2393882773560510209,0,76,116.494741,37.217713,120
2393882773560510210,0,77,116.494708,37.217689,120
2393882773560510211,0,77,116.494675,37.217665,120
2393882773560510212,0,78,116.494643,37.217641,120
2393882773560510213,0,79,116.494611,37.217618,120
2393882773560510465,0,17,116.494315,37.218298,120
2393882773560510466,0,17,116.494278,37.218281,120
2393882773560510467,0,16,116.494240,37.218263,120
2393882773560510468,0,15,116.494204,37.218246,120
2393882773560510469,0,14,116.494167,37.218229,120
2393882773560510721,0,2,116.494213,37.218426,120
2393882773560510722,0,2,116.494186,37.218406,120
2393882773560510723,0,2,116.494154,37.218382,120
2393882773560510724,0,2,116.494123,37.218358,120
2393882773560510725,0,2,116.494089,37.218335,120
2393882773560510977,0,2,116.494204,37.218437,120
2393882773560510978,0,2,116.494177,37.218418,120
2393882773560510979,0,2,116.494145,37.218394,120
2393882773560510980,0,2,116.494113,37.218371,120
2393882773560510981,0,2,116.494081,37.218347,120
2393882773560511233,0,70,116.494197,37.218446,120
2393882773560511234,0,71,116.494171,37.218427,120
2393882773560511235,0,71,116.494138,37.218403,120
2393882773560511236,0,72,116.494106,37.218380,120
2393882773560511237,0,73,116.494074,37.218356,120
2392342014172605953,0,45,121.848269,29.305081,100
2392342014172605954,0,45,121.848245,29.305052,100
2392342014172605955,0,44,121.848221,29.305024,100
2392342014172606209,0,52,121.847893,29.305318,100
2392342014172606210,0,53,121.847874,29.305287,100
2392342014172606211,0,53,121.847854,29.305256,100
2392342014172606465,0,69,121.847449,29.305580,100
2392342014172606466,0,68,121.847428,29.305552,100
2392342014172606467,0,68,121.847406,29.305522,100
2392342014172597761,0,205,121.846835,29.305876,100
2392342014172597762,0,204,121.846814,29.305844,100
